"Hay of Linplum", "1667", "Hay", "extinct 1751"
"Hay of Park", "1663", "Hay", "extant"
"Hay of Smithfield", "1635", "Hay", "extinct/dormant 1966"
"Henderson of Fordell", "1664", "Henderson", "extinct 1833"
"Heron-Maxwell of Springkell", "1683", "Maxwell, later Heron-Maxwell", "extant"
"Hill of Waughton", "1707", "Hill", "extinct/dormant 1729"
"Holburn of Menstrie", "1706", "Holburn", "extinct/dormant 1874"
"Home of Blackadder", "1671", "Home", "extant"
"Home of Lumdane", "1697", "Home", "extinct 1783"
"Home of North Berwick", "1638", "Home", "extinct/dormant 1747"
"Home of Renton", "1678", "Home", "extinct/dormant 1738"
"Home of Wedderburn", "1638", "Home", "forfeit 1716"
"Home-Purves-Hume-Campbell of Purves Hall", "1665", "Purves, later Purves-Hume-Campbell, later Home-Purves-Hume-Campbell", "dormant 1960"
"Hope-Dunbar of Baldoon", "1664", "Dunbar, later Hope-Dunbar", "extant"
"Hope of Craighall", "1628", "Hope", "extant"
"Hope of Kerse", "1672", "Hope", "extinct c 1794"
"Hope of Kirkliston", "1698", "Hope", "dormant 1763"
"Houston of Houston", "1668", "Houston", "extant, unclaimed"
"Hume of Polwarth", "1637", "Hume", "dormant 1794"
