"Poppe, Jeanne", "27B", "Austin", "DFL"
"Powell, Duke", "40A", "Burnsville", "Rep"
"Rukavina, Tom", "05A", "Virginia", "DFL"
"Ruth, Connie", "26A", "Owatonna", "Rep"
"Ruud, Maria", "42A", "Minnetonka", "DFL"
"Sailer, Brita", "02B", "Park Rapids", "DFL"
"Samuelson, Char", "50B", "New Brighton", "Rep"
"Scalze, Bev", "54B", "Little Canada", "DFL"
"Seifert, Marty", "21A", "Marshall", "Rep"
"Sertich, Tony", "05B", "Chisholm", "DFL"
"Severson, Dan", "14A", "Sauk Rapids", "Rep"
"Sieben, Katie", "57A", "Newport", "DFL"
"Simon, Steve", "44A", "St. Louis Park", "DFL"
"Simpson, Dean", "10B", "Perham", "Rep"
"Slawik, Nora", "55B", "Maplewood", "Rep"
"Smith, Steve", "33A", "Mound", "Rep"
"Soderstrom, Judy", "08B", "Mora", "Rep"
"Solberg, Loren", "03B", "Grand Rapids", "DFL"
"Sviggum, Steve", "28B", "Kenyon", "Rep"
"Sykora, Barb", "33B", "Excelsior", "Rep"
"Thao, Cy", "65A", "St. Paul", "DFL"
"Thissen, Paul", "63A", "Minneapolis", "DFL"
"Tingelstad, Kathy", "49B", "Andover", "Rep"
"Urdahl, Dean", "18B", "Grove City", "Rep"
"Vandeveer, Ray", "52A", "Forest Lake", "Rep"
"Wagenius, Jean", "62B", "Minneapolis", "DFL"
"Walker, Neva", "61B", "Minneapolis", "DFL"
"Wardlow, Lynn", "38B", "Eagan", "Rep"
"Welti, Andy", "30B", "Plainview", "DFL"
"Westerberg, Andy", "51A", "Blaine", "Rep"
"Westrom, Torrey", "11A", "Elbow Lake", "Rep"
"Wilkin, Tim", "38A", "Eagan", "Rep"
"Zellers, Kurt", "32B", "Maple Grove", "Rep"
