"End Of Fashion", "2004–present", "Rock", "The Sleepy Jackson"
"Epitaph", "1992-1996", "Metal", ""
"Eskimo Joe", "1997–present", "Alternative rock", ""
"Eurogliders", "1980–1989, 2005", "Indie pop", ""
"Faith in Plastics", "2002–present", "Indie pop", ""
"Fall Electric", "2006–present", "Alternative rock", "Adam Said Galore , Schvendes"
"Faulkner, Dave", "1957(b)–present", "", "The Victims , The Manikins , Hoodoo Gurus , Antenna , Persian Rugs"
"Fdel", "", "Australian Hip-Hop", "Sylabolliks Crew"
"Fedele, Sara-Marie", "1978(b)–present", "Pop", "Big Brother contestant"
"Felicity Groom", "2007–present", "", "The Kill Devil Hills , Jebediah , Adam Said Galore , Fall Electric"
"Felix", "", "", ""
"The Fergusons", "1999–2005", "Alternative rock", "Bipolar Bears"
"The Ferrymen", "2008–present", "Celtic Folk", ""
"Fighting For Alaska", "2001–", "Indie pop", ""
"The Flairz", "2004–present", "Garage rock", ""
"Flanders", "", "Alternative Rock", ""
"Flow Dynamics", "2004–present", "Electronica", "Rhibosome"
"Fondula", "1993-2002", "Alternate Rock", "Mr Sunbird , Stoney Joe"
"found: quantity of sheep", "2001–2005", "Experimental rock", ""
"Fourth Floor Collapse", "1989–present", "Indie rock", ""
"From The Ruins", "", "", ""
"The Freuds", "", "", ""
"Freud's Pillow", "1995–1997", "Indie pop", "Eskimo Joe , Little Birdy , One Horse Town, Bank Holidays"
"Full Scale", "1998–2005", "Alternative metal", "Helmut"
"The Furor", "2002–present", "Black metal", "Pagan, Samain"
"The Fuzz *", "2002–?", "Indie rock", "Abbe May & the Rockin Pneumonia"
"Gaunt, Nathan", "", "Folk rock", "Nathan Gaunt & the Blackeyed Dogs"
"German Humour", "", "", ""
"Greg Dear and the Beautiful Losers", "", "", ""
"Greg Hastings", "1974-present", "Folk, Roots, Country, Humorous, Children's Songs. Didgeridoo", "Mucky Duck Bush Band (1974 - '79)"
"The Groovesmiths", "2004–present", "Roots", "John Butler Trio"
"Goodnight Tiger", "2009–present", "Folk/Indie/Acoustic", ""
"Gyroscope", "1997–present", "Post-grunge / Alternative rock", ""
"Halogen", "1998–present", "Rock", ""
"The Hampdens", "2003–present", "Indie rock", ""
"Harlequin League", "2007–present", "Indie rock", ""
"Haywood, Leah", "1976(b)–present", "", ""
"Header", "1993–1997", "Indie Pop / Power pop", "The Rainyard, The Mars Bastards"
"The Hedonists", "1991–1999", "Indie Pop", "Moriarty"
"Helicopters", "1980–1985", "New Wave / Ska", "The Scientists"
"Heavy Weight Champ", "1999–present", "Heavy metal , Progressive rock", ""
"Hiltones", "2008–present", "Acoustic eclectic ,", ""
"Hip Mo Toast", "", "", ""
"Hole, Dave", "1948(b)–present", "Blues", ""
"The Holy Rollers", "", "", "Charlottes Web , The Beautiful Losers, The White Swallows"
"Hostile Little Face", "2007–present", "Alternative rock", ""
"Hunter", "", "Australian Hip-Hop", ""
"Ikey Mo", "", "", ""
"Institut Polaire", "2004–present", "Indie", "The Autumn Isles , Jack On Fire"
"Innocent Bystanders", "1983–1988", "Rock", "Johnny Diesel and the Injectors , Brett Keyser"
"INXS (as The Farriss Brothers)", "1997–present", "Rock", ""
"Jade, Samantha", "1987(b)–present", "Pop , Contemporary R&B", ""
"The Jacknives", "2003-2011", "rock & roll", ""
"The Jam Tarts", "1984–1991", "", "Nansing Quartet"
"The Jayco Brothers", "2001–present", "Alternative country", "Bucket , Spokaine , A Month Of Sundays"
"Jebediah", "1994–present", "Alternative rock", ""
"The John Butler Trio", "1995–present", "Jam band , Bluegrass", ""
"Johnny Diesel (Lizotte, Mark)", "1967(b)–present", "Rock , Hard rock", "Johnny Diesel and the Injectors, Innocent Bystanders"
"Just William", "1995-2004", "Indie / Goth rock", ""
"Karnivool", "1996–present", "Progressive rock", "Birds of Tokyo"
"The Kill Devil Hills", "2003–present", "Blues-rock", "Felicity Groom and the Black Black Smoke"
"King Pig", "", "", ""
"Krost, Lana", "2000(b)–present", "Pop", "Australian Idol contestant"
"The Kryptonics", "1985–1992", "Pop punk , Alternative rock", "Front End Loader , The Chevelles , You Am I , Regurgitator"
"Lash", "1996–2003", "Alternative rock", "Exteria, Spencer Tracy , The Preytells"
"Last Year's Hero", "", "", ""
"Layla Hanbury (MC Layla)", "1982(b)–present", "Australian Hip-Hop", "Sylabolliks Crew"
"Like Junk", "2005–present", "Post-punk", "Noir du'Soleil , White Sex, Public Castration"
"Little Birdy", "2002–present", "Indie rock", "The Sleepy Jackson , End of Fashion"
"Martine Locke", "1996-2000", "Folk Rock", "The Velvet Janes"
"Loose Unit", "", "", ""
"Love Camp 7", "", "", ""
"Love Pump", "1985–1992", "Alternative rock", "The Waltons, The Fat"
"Lo-Key Fu", "2000–present", "Breakbeat , Nu skool breaks", "Rollerskates"
